cnote,dispatch_time,dispatch_date,client_name,weight,origin_cluster,to_pincode,trip_id,bp_id,serviceability,ODA,trip_category
8000704933,4/16/2019 21:45,4/16/2019,RETAIL,16,BOMT1,841418,808647,BP1501,ODA_2_2,2,NP
2000812837,5/6/2019 9:12,5/6/2019,RETAIL,95,CJBT1,454449,820875,BP1147,ODA_4_7,4,DNP
2000812835,5/6/2019 9:12,5/6/2019,RETAIL,90,CJBT1,454001,820875,BP1147,ODA_1_1,1,DNP
1003165270,5/6/2019 9:12,5/6/2019,Marc laboratories Ltd    ,35,LKOT1,454001,820875,BP1147,ODA_1_1,1,DNP
1003327200,5/6/2019 9:12,5/6/2019,Godrej& Boyce,1,BOMT1,454773,820875,BP1147,ODA_1_1,1,DNP
8000673460,4/27/2019 11:17,4/27/2019,RETAIL,15,JAIT1,734301,824731,BP1532,ODA_3_5,3,DNP
2000145302,4/27/2019 15:50,4/27/2019,RETAIL,195,AMBT1,632602,825449,BP1154,ODA_1_1,1,NP
1003300322,4/27/2019 17:04,4/27/2019,Xseed Education,19,BLRT1,518134,825643,BP1273,ODA_3_5,3,DNP
8000769374,5/2/2019 6:40,5/2/2019,White Field Impex,21,BOMT1,421503,826049,BP1487,ODA_1_1,1,NP
8000779274,5/2/2019 6:40,5/2/2019,Aimil India Ltd.,20,DELT1,421503,826049,BP1487,ODA_1_1,1,NP
1003046533,5/2/2019 6:40,5/2/2019, Orient Electric Ltd (Lighting),15,NAGT1,421503,826049,BP1487,ODA_1_1,1,NP
1002388590,4/29/2019 11:19,4/29/2019,Lamberti Hydrocolloids  Pvt Ltd.,800,AMDT1,184121,827096,BP1198,ODA_1_1,1,NP
1003306545,4/29/2019 12:18,4/29/2019,Mohan Clothing Company pvt ltd,15,JAIT1,334001,827328,BP1226,ODA_1_1,1,NP
1003299415,5/2/2019 17:02,5/2/2019,Schwing Stetter India Private Limtied,20,MAAT1,670141,828051,BP1206,ODA_4_5,4,DNP
1003011363,4/29/2019 21:13,4/29/2019,KWE - Sharp,118,MAAT2,335701,828110,BP1226,ODA_5_5,5,DNP
1003300334,4/29/2019 21:13,4/29/2019,Xseed Education,229,BLRT1,335001,828110,BP1226,ODA_6_5,6,DNP
1003372664,4/29/2019 21:13,4/29/2019,ITC LTD-KOLKATA,3,DELT1,335804,828110,BP1226,ODA_5_5,5,DNP
2000759176,4/30/2019 8:07,4/30/2019,Continental Coffee Pvt Ltd Unit 3,123,HYDT1,335001,828125,BP1226,ODA_6_5,6,DNP
1003372634,4/30/2019 8:07,4/30/2019,ITC LTD-KOLKATA,7,DELT1,335001,828125,BP1226,ODA_6_5,6,DNP
